"","Parameter","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS"
"1","sigma_Intercept",1.194,0.039,1.119,1.272,1.001,2994,2936
"2","Terrestrial",0.02,0.008,0.003,0.037,1,2030,3033
"3","Freshwater",0.005,0.011,-0.017,0.026,1.002,2742,3283
"4","Marine",0.012,0.005,0.002,0.023,1.001,2015,2599
"5","Terrestrial:tmeanpos",-0.032,0.013,-0.058,-0.008,1,1921,2768
"6","Freshwater:tmeanpos",-0.011,0.017,-0.045,0.023,1,2886,3006
"7","Marine:tmeanpos",-0.022,0.01,-0.041,-0.003,1.001,2558,3250
"8","sigma_logn_samp",-0.011,0.005,-0.02,-0.001,1.001,2875,2922
"9","sigma_logduration",-1.175,0.013,-1.201,-1.15,1.001,2849,2651
"10","sigma_logextent_km2",-0.002,0.001,-0.005,0,1,3664,3404
