"","Parameter","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS"
"1","sigma_Intercept",1.467,0.028,1.412,1.522,1.001,2488,2779
"2","Terrestrial",0.026,0.007,0.011,0.04,1.004,1400,2134
"3","Freshwater",0.007,0.014,-0.02,0.036,1.002,2602,3468
"4","Marine",0.018,0.008,0.002,0.033,1.002,1625,2378
"5","Terrestrial:tmeanpos",-0.03,0.01,-0.049,-0.011,1.001,1558,2627
"6","Freshwater:tmeanpos",-0.004,0.021,-0.047,0.037,1.002,2934,3336
"7","Marine:tmeanpos",-0.029,0.012,-0.053,-0.007,1.001,2109,3040
"8","sigma_logn_samp",-0.144,0.003,-0.15,-0.139,1,2938,3201
"9","sigma_logduration",-0.974,0.008,-0.99,-0.957,1.001,2389,2715
"10","sigma_logextent_km2",-0.03,0.001,-0.032,-0.029,1,3801,3147
