"","Parameter","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS"
"1","Terrestrial",-0.0193,0.0083,-0.0357,-0.0032,0.9998,7806,7612
"2","Freshwater",-0.0172,0.0127,-0.0422,0.0077,1.0001,8299,7951
"3","Marine",-0.0094,0.0055,-0.0203,0.0015,0.9998,7807,7734
"4","Terrestrial:change_tempmean",-0.0889,0.1437,-0.3701,0.1921,1.0003,8328,7628
"5","Freshwater:change_tempmean",-0.0453,0.1668,-0.3768,0.2782,1.0001,7818,7560
"6","Marine:change_tempmean",-0.2943,0.122,-0.5325,-0.0511,1,7996,7554
"7","Terrestrial:lat_cent",0,4e-04,-7e-04,7e-04,1.0002,7581,7356
"8","Freshwater:lat_cent",2e-04,8e-04,-0.0013,0.0017,1,8235,7873
"9","Marine:lat_cent",2e-04,5e-04,-7e-04,0.0011,1.0004,8056,7675
"10","Terrestrial:sprich_cent",0.0165,0.0105,-0.0037,0.0372,1.0001,7811,8001
"11","Freshwater:sprich_cent",0.011,0.0229,-0.0339,0.0557,1.0001,7843,7887
"12","Marine:sprich_cent",-0.0144,0.0126,-0.039,0.0101,0.9998,7852,7711
"13","Terrestrial:duration_cent",0.0317,0.036,-0.0402,0.1026,1,8018,7484
"14","Freshwater:duration_cent",-0.0132,0.0498,-0.1104,0.0838,1.0001,7659,7890
"15","Marine:duration_cent",-0.0306,0.0363,-0.1027,0.0407,1.0003,7999,7974
"16","Terrestrial:startyr_cent",3e-04,7e-04,-0.0011,0.0016,1.0002,7788,7986
"17","Freshwater:startyr_cent",-0.001,7e-04,-0.0024,4e-04,0.9999,7987,7905
"18","Marine:startyr_cent",-3e-04,6e-04,-0.0014,9e-04,0.9999,8083,7116
"19","Terrestrial:extent_cent",0.0014,0.0018,-0.0022,0.0049,1.0002,8161,7535
"20","Freshwater:extent_cent",0,0.0053,-0.0104,0.0106,1,8384,7848
"21","Marine:extent_cent",-0.0055,0.003,-0.0114,4e-04,1,7918,7719
"22","Terrestrial:nsamp_cent",0.0038,0.0093,-0.0143,0.0222,1.0001,7725,8009
"23","Freshwater:nsamp_cent",0.0057,0.0161,-0.0257,0.0368,1.0001,7731,7488
"24","Marine:nsamp_cent",0.0149,0.0089,-0.0026,0.033,0.9997,8112,7707
