"","Parameter","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS"
"1","Terrestrial",-0.0307,0.0083,-0.0469,-0.0147,1.0001,7744,7870
"2","Freshwater",-0.0207,0.0213,-0.0623,0.02,1.0005,7926,7803
"3","Marine",2e-04,0.0077,-0.015,0.015,1,8293,7800
"4","Terrestrial:change_tempmean",-0.1312,0.1442,-0.4189,0.1496,1.0001,7882,7440
"5","Freshwater:change_tempmean",-0.1862,0.2435,-0.6594,0.2942,1.0002,8243,8280
"6","Marine:change_tempmean",-0.6492,0.1397,-0.9239,-0.3818,1.0005,8092,7972
"7","Terrestrial:lat_cent",3e-04,3e-04,-4e-04,9e-04,0.9999,7957,7901
"8","Freshwater:lat_cent",-4e-04,0.0011,-0.0024,0.0018,1.0005,7959,7414
"9","Marine:lat_cent",6e-04,5e-04,-4e-04,0.0016,1,8262,7887
"10","Terrestrial:sprich_cent",0.0155,0.0104,-0.0049,0.0358,0.9999,7384,7785
"11","Freshwater:sprich_cent",-0.0148,0.0308,-0.0744,0.0468,1.0001,7963,7847
"12","Marine:sprich_cent",-0.0214,0.0145,-0.0496,0.0073,0.9999,7834,8308
"13","Terrestrial:duration_cent",-0.0047,0.0341,-0.0715,0.0619,1.0003,8399,7862
"14","Freshwater:duration_cent",-0.0245,0.0723,-0.1661,0.1151,0.9999,8230,7972
"15","Marine:duration_cent",-0.0456,0.0452,-0.1331,0.0441,1.0003,7691,8073
"16","Terrestrial:startyr_cent",-2e-04,6e-04,-0.0014,9e-04,1.0001,8096,7401
"17","Freshwater:startyr_cent",-0.0011,0.001,-0.0031,9e-04,1.0001,7954,7846
"18","Marine:startyr_cent",-2e-04,6e-04,-0.0014,0.0011,1.0001,8007,7966
"19","Terrestrial:extent_cent",-0.0012,0.0016,-0.0045,0.002,1.0002,7794,7886
"20","Freshwater:extent_cent",0.0042,0.007,-0.0098,0.0175,1.0004,7722,7955
"21","Marine:extent_cent",-0.0065,0.0036,-0.0136,3e-04,1.0006,8273,7792
"22","Terrestrial:nsamp_cent",0.0227,0.0064,0.0103,0.0355,1.0001,8182,7833
"23","Freshwater:nsamp_cent",0.0165,0.0211,-0.0245,0.0572,1,7868,7770
"24","Marine:nsamp_cent",0.0319,0.0101,0.0118,0.0518,0.9999,7902,8015
